류, 감귤, 조생귤, 1, 0, 200.0
채소류, 풋고추, 청양, 1, 0, 700.0
류, 사과, 미얀마, 1, 0, 272.0
채류, 봄동배추, 봄동배추, 1, 0, 104.0
채류, 배추, 쌈배추, 1, 0, 360.0
류, 호박, 애호박, 1, 0, 331.25
류, 무, 가을무, 1, 0, 31.5
채류, 얼갈이배추, 얼갈이배추, 1, 0, 187.5
채소류, 쪽파, 쪽파, 1, 0, 470.0
채류, 배추, 쌈배추, 1, 0, 360.0
류, 치커리, 레드치커리, 1, 0, 412.5
채류, 얼갈이배추, 얼갈이배추, 1, 0, 187.5
채소류, 풋고추, 오이고추, 1, 0, 440.0
류, 사과, 미얀마, 1, 0, 84.5
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 143.75
류, 오이, 백다다기, 1, 0, 438.8889
류, 당근, 당근, 1, 0, 115.0
채소류, 쪽파, 쪽파, 1, 0, 430.0
채류, 깻잎, 깻잎, 1, 0, 587.5
류, 치커리, 레드치커리, 1, 0, 200.0
류, 사과, 미얀마, 1, 0, 294.5
류, 감귤, 기타감귤, 1, 0, 330.0
, 고구마, 밤고구마, 1, 0, 142.0
류, 감귤, 조생귤, 1, 0, 160.0
류, 포도, 거봉, 1, 0, 465.0
류, 사과, 미얀마, 1, 0, 353.33334
채류, 배추, 쌈배추, 1, 0, 360.0
채류, 시금치, 시금치, 1, 0, 230.0
채류, 깻잎, 깻잎, 1, 0, 950.0
류, 사과, 미얀마, 1, 0, 89.5
류, 감귤, 조생귤, 1, 0, 132.0
과채류, 딸기, 죽향, 1, 0, 1600.0
류, 감귤, 기타감귤, 1, 0, 230.0
류, 만가닥, 만가닥, 1, 0, 313.33334
류, 표고버섯, 표고버섯, 1, 0, 325.0
류, 감귤, 기타감귤, 1, 0, 264.0
채류, 양배추, 양배추, 1, 0, 79.0
채류, 배추, 쌈배추, 1, 0, 360.0
과채류, 딸기, 설향, 1, 0, 950.0
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 150.0
류, 감귤, 조생귤, 1, 0, 90.0
과채류, 딸기, 설향, 1, 0, 1100.0
류, 오이, 백다다기, 1, 0, 520.0
류, 오이, 취청, 1, 0, 620.0
채류, 깻잎, 깻잎순, 1, 0, 625.0
채류, 깻잎, 깻잎, 1, 0, 1000.0
채소류, 풋고추, 청양, 1, 0, 680.0
류, 치커리, 레드치커리, 1, 0, 200.0
채류, 상추, 꽃적상추, 1, 0, 350.0
류, 감귤, 기타감귤, 1, 0, 186.0
과채류, 딸기, 기타딸기, 1, 0, 1500.0
류, 치커리, 레드치커리, 1, 0, 250.0
채류, 부추, 일반부추, 1, 0, 670.0
채류, 배추, 기타배추, 1, 0, 36.666668
, 감자, 기타감자, 1, 0, 265.0
류, 감귤, 기타감귤, 1, 0, 190.0
류, 감귤, 기타감귤, 1, 0, 210.0
과채류, 토마토, 토마토, 1, 0, 260.0
류, 당근, 당근, 1, 0, 140.0
채소류, 쪽파, 깐쪽파, 1, 0, 330.0
류, 감귤, 조생귤, 1, 0, 204.0
류, 호박, 애호박, 1, 0, 375.0
류, 새송이, 새송이버섯, 1, 0, 325.0
류, 감귤, 기타감귤, 1, 0, 340.0
채류, 시금치, 시금치, 1, 0, 400.0
류, 가지, 건가지, 1, 0, 350.0
류, 오렌지, 천혜향, 1, 0, 350.0
류, 감귤, 천혜향, 1, 0, 362.0
, 고구마, 기타, 1, 0, 65.0
채류, 배추, 기타배추, 1, 0, 20.0
류, 단감, 부유, 1, 0, 330.0
과채류, 딸기, 설향, 1, 0, 1500.0
류, 만감, 기타만감, 1, 0, 400.0
류, 감귤, 기타감귤, 1, 0, 350.0
채류, 깻잎, 깻잎, 1, 0, 433.33334
채류, 부추, 일반부추, 1, 0, 640.0
과채류, 딸기, 설향, 1, 0, 1000.0
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 187.5
류, 양상추, 양상추, 1, 0, 320.0
류, 단감, 부유, 1, 0, 330.0
채류, 배추, 기타배추, 1, 0, 35.333332
류, 사과, 미얀마, 1, 0, 240.0
과채류, 딸기, 장희, 1, 0, 600.0
과채류, 딸기, 기타딸기, 1, 0, 2000.0
과채류, 딸기, 기타딸기, 1, 0, 1550.0
채소류, 쪽파, 깐쪽파, 1, 0, 410.0
류, 표고버섯, 표고버섯, 1, 0, 350.0
과채류, 딸기, 설향, 1, 0, 850.0
과채류, 방울토마토, 대추방울, 1, 0, 333.33334
류, 감귤, 조생귤, 1, 0, 220.0
류, 오이, 백다다기, 1, 0, 380.0
류, 감귤, 감귤, 1, 0, 136.0
과채류, 딸기, 설향, 1, 0, 1470.0
채류, 시금치, 시금치, 1, 0, 240.0
류, 비트(붉은사탕무우), 비트, 1, 0, 85.0
류, 포도, 샤인마스캇, 1, 0, 550.0
채류, 상추, 적상추, 1, 0, 125.0
류, 포도, 샤인마스캇, 1, 0, 400.0
과채류, 딸기, 설향, 1, 0, 1150.0
과채류, 딸기, 설향, 1, 0, 1250.0
채류, 배추, 쌈배추, 1, 0, 200.0
채소류, 풋고추, 롱그린, 1, 0, 550.0
과채류, 딸기, 설향, 1, 0, 1200.0
채류, 깻잎, 깻잎, 1, 0, 662.5
채류, 시금치, 시금치, 1, 0, 250.0
류, 사과, 미얀마, 1, 0, 248.0
과채류, 딸기, 설향, 1, 0, 1220.0
류, 오이, 취청, 1, 0, 650.0
류, 연근, 연근, 1, 0, 270.0
류, 포도, 샤인마스캇, 1, 0, 475.0
채류, 시금치, 시금치, 1, 0, 310.0
류, 단감, 부유, 1, 0, 178.0
류, 단감, 부유, 1, 0, 210.0
채소류, 풋고추, 롱그린, 1, 0, 620.0
채류, 시금치, 시금치, 1, 0, 310.0
채소류, 풋고추, 롱그린, 1, 0, 570.0
류, 단감, 부유, 1, 0, 350.0
, 감자, 기타감자, 1, 0, 192.5
과채류, 토마토, 토마토, 1, 0, 240.0
채소류, 쪽파, 깐쪽파, 1, 0, 600.0
류, 감귤, 조생귤, 1, 0, 220.0
류, 셀러리(양미나리), 셀러리, 1, 0, 81.48148
류, 호박, 쥬키니호박, 1, 0, 342.0
류, 감귤, 비가림감귤, 1, 0, 450.0
류, 단감, 부유, 1, 0, 350.0
채류, 부추, 일반부추, 1, 0, 720.0
과채류, 딸기, 설향, 1, 0, 800.0
류, 사과, 미얀마, 1, 0, 266.66666
류, 감귤, 조생귤, 1, 0, 210.0
채소류, 풋고추, 롱그린, 1, 0, 620.0
과채류, 딸기, 설향, 1, 0, 950.0
류, 사과, 후지, 1, 0, 250.0
채류, 부추, 일반부추, 1, 0, 640.0
과채류, 딸기, 설향, 1, 0, 800.0
채류, 상추, 적상추, 1, 0, 450.0
과채류, 딸기, 설향, 1, 0, 1000.0
류, 단감, 부유, 1, 0, 100.0
과채류, 방울토마토, 대추방울, 1, 0, 300.0
채소류, 양파, 양파, 1, 0, 160.0
류, 단감, 부유, 1, 0, 300.0
 해조류, 미역, 물미역, 1, 0, 125.0
류, 양상추, 기타양상추, 1, 0, 190.0
류, 무, 무말랭이, 1, 0, 600.0
채소류, 쪽파, 깐쪽파, 1, 0, 720.0
류, 감귤, 조생귤, 1, 0, 220.0
류, 양상추, 기타양상추, 1, 0, 190.0
류, 단감, 부유, 1, 0, 160.0
류, 단감, 기타단감, 1, 0, 140.0
채류, 상추, 쫑상추, 1, 0, 250.0
류, 사과, 미얀마, 1, 0, 370.0
과채류, 방울토마토, 대추방울, 1, 0, 300.0
과채류, 딸기, 설향, 1, 0, 850.0
과채류, 딸기, 설향, 1, 0, 1600.0
과채류, 딸기, 장희, 1, 0, 680.0
채류, 봄동배추, 봄동배추, 1, 0, 110.0
채류, 봄동배추, 봄동배추, 1, 0, 110.0
류, 감귤, 조생귤, 1, 0, 272.0
류, 포도, 샤인마스캇, 1, 0, 775.0
류, 포도, 샤인마스캇, 1, 0, 627.5
류, 포도, 샤인마스캇, 1, 0, 627.5
류, 포도, 샤인마스캇, 1, 0, 627.5
채소류, 쪽파, 깐쪽파, 1, 0, 520.0
류, 만감, 한라봉, 1, 0, 483.33334
류, 포도, 샤인마스캇, 1, 0, 712.5
, 고구마, 밤고구마, 1, 0, 350.0
류, 포도, 샤인마스캇, 1, 0, 627.5
, 고구마, 밤고구마, 1, 0, 176.0
류, 단감, 부유, 1, 0, 150.0
류, 배, 신고, 1, 0, 313.33334
과채류, 방울토마토, 대추방울, 1, 0, 426.66666
류, 배, 신고, 1, 0, 333.33334
류, 만감, 한라봉, 1, 0, 233.33333
류, 배, 신고, 1, 0, 186.66667
류, 배, 신고, 1, 0, 266.66666
류, 배, 신고, 1, 0, 360.0
과채류, 토마토, 완숙토마토, 1, 0, 672.0
류, 배, 신고, 1, 0, 313.33334
류, 사과, 미얀마, 1, 0, 279.5
류, 감귤, 조생귤, 1, 0, 180.0
류, 사과, 미얀마, 1, 0, 129.5
류, 사과, 미얀마, 1, 0, 164.5
류, 무, 가을무, 1, 0, 31.5
과채류, 딸기, 설향, 1, 0, 1350.0
채류, 쑥갓, 쑥갓, 1, 0, 425.0
류, 기타, 기타잡곡류, 0, 0, 240.0
류, 사과, 미얀마, 1, 0, 169.5
류, 사과, 미얀마, 1, 0, 165.0
, 고구마, 기타, 1, 0, 143.0
채류, 청경채, 청경채, 1, 0, 475.0
과채류, 딸기, 설향, 1, 0, 840.0
류, 사과, 미얀마, 1, 0, 224.5
류, 참다래(키위), 참다래, 1, 0, 400.0
채류, 배추, 봄배추, 1, 0, 140.0
류, 바나나, 바나나, 0, 0, 238.46153
채소류, 겨자, 적겨자, 1, 0, 233.75
과채류, 딸기, 설향, 1, 0, 550.0
류, 포도, 청포도, 1, 0, 547.9452
채류, 배추, 쌈배추, 1, 0, 350.0
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 218.75
채류, 배추, 쌈배추, 1, 0, 350.0
류, 치커리, 레드치커리, 1, 0, 537.5
채류, 배추, 쌈배추, 1, 0, 350.0
가공, 어묵,어분,어비, 기타, 1, 0, 1368.3334
가공, 어묵,어분,어비, 기타, 1, 0, 1368.3334
류, 치커리, 레드치커리, 1, 0, 387.5
채류, 배추, 쌈배추, 1, 0, 350.0
가공, 어묵,어분,어비, 기타, 1, 0, 5895.0
채류, 깻잎, 깻잎, 1, 0, 1233.3334
류, 감귤, 조생귤, 1, 0, 210.0
채류, 깻잎, 깻잎, 1, 0, 433.33334
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 225.0
과채류, 딸기, 기타딸기, 1, 0, 1550.0
채류, 배추, 쌈배추, 1, 0, 350.0
류, 감귤, 조생귤, 1, 0, 192.0
류, 사과, 후지, 1, 0, 250.0
채류, 깻잎, 깻잎, 1, 0, 983.3333
류, 포도, 샤인마스캇, 1, 0, 550.0
류, 만감, 진지향, 1, 0, 344.0
과채류, 토마토, 토마토, 1, 0, 244.0
채류, 시금치, 시금치, 1, 0, 250.0
류, 치커리, 레드치커리, 1, 0, 475.0
채류, 시금치, 시금치, 1, 0, 350.0
류, 단감, 부유, 1, 0, 350.0
류, 사과, 미시마, 1, 0, 160.0
류, 새송이, 새송이버섯, 1, 0, 185.0
채류, 시금치, 시금치, 1, 0, 220.0
채류, 시금치, 시금치, 1, 0, 260.0
채소류, 풋고추, 청양, 1, 0, 680.0
류, 적채, 적채, 1, 0, 160.0
류, 감귤, 레드향, 1, 0, 460.0
채소류, 꽈리고추, 꽈리고추, 1, 0, 600.0
류, 호박, 애호박, 1, 0, 375.0
채소류, 꽈리고추, 꽈리고추, 1, 0, 600.0
채류, 깻잎, 깻잎, 1, 0, 1266.6666
과채류, 딸기, 기타딸기, 1, 0, 2300.0
과채류, 딸기, 설향, 1, 0, 1300.0
류, 배, 신고, 1, 0, 240.0
채류, 깻잎, 깻잎, 1, 0, 433.33334
류, 사과, 미시마, 1, 0, 150.0
채류, 깻잎, 깻잎, 1, 0, 637.5
류, 사과, 미시마, 1, 0, 160.0
과채류, 토마토, 토마토, 1, 0, 240.0
류, 호박, 애호박, 1, 0, 331.25
과채류, 딸기, 기타딸기, 1, 0, 900.0
류, 감귤, 조생귤, 1, 0, 246.0
채류, 시금치, 시금치, 1, 0, 300.0
채류, 시금치, 시금치, 1, 0, 275.0
류, 오이, 백다다기, 1, 0, 422.22223
채류, 시금치, 시금치, 1, 0, 300.0
류, 만감, 기타만감, 1, 0, 466.66666
과채류, 수박, 수박, 1, 0, 250.0
채류, 시금치, 시금치, 1, 0, 310.0
류, 무, 월동무, 1, 0, 69.0
과채류, 딸기, 설향, 1, 0, 1450.0
채류, 상추, 청상추, 1, 0, 450.0
류, 단감, 부유, 1, 0, 233.0
류, 표고버섯, 표고버섯, 1, 0, 900.0
과채류, 딸기, 설향, 1, 0, 1450.0
류, 무, 월동무, 1, 0, 79.5
류, 무, 월동무, 1, 0, 59.0
, 감자, 두백, 1, 0, 225.0
작물류, 유채, 기타유채, 1, 0, 230.0
류, 오이, 백다다기, 1, 0, 277.77777
채류, 부추, 일반부추, 1, 0, 540.0
류, 무, 월동무, 1, 0, 58.0
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 125.0
류, 오이, 취청, 1, 0, 620.0
과채류, 토마토, 토마토, 1, 0, 240.0
류, 무, 월동무, 1, 0, 66.5
, 고구마, 기타, 1, 0, 133.0
류, 오이, 취청, 1, 0, 520.0
류, 무, 다발무, 1, 0, 116.0
류, 팽이버섯, 팽이1호, 1, 0, 260.0
류, 취나물, 건취나물, 1, 0, 600.0
류, 표고버섯, 표고버섯, 1, 0, 500.0
채소류, 양파, 양파, 1, 0, 157.0
과채류, 딸기, 죽향, 1, 0, 3250.0
류, 사과, 미얀마, 1, 0, 310.66666
, 고구마, 기타, 1, 0, 65.0
류, 감귤, 기타감귤, 1, 0, 280.0
채소류, 풋고추, 롱그린, 1, 0, 580.0
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 250.0
과채류, 딸기, 기타딸기, 1, 0, 2850.0
과채류, 딸기, 설향, 1, 0, 1150.0
과채류, 방울토마토, 대추방울, 1, 0, 330.0
, 감자, 기타감자, 1, 0, 205.0
채소류, 풋고추, 롱그린, 1, 0, 550.0
채소류, 쪽파, 깐쪽파, 1, 0, 600.0
류, 감귤, 조생귤, 1, 0, 180.0
채소류, 풋고추, 롱그린, 1, 0, 570.0
류, 곶감, 기타곶감, 1, 0, 800.0
류, 사과, 미얀마, 1, 0, 326.66666
채소류, 홍고추, 홍고추, 1, 0, 680.0
류, 오이, 취청, 1, 0, 565.0
채소류, 쪽파, 깐쪽파, 1, 0, 210.0
류, 감귤, 비가림감귤, 1, 0, 260.0
채소류, 풋고추, 롱그린, 1, 0, 620.0
류, 오이, 취청, 1, 0, 640.0
류, 표고버섯, 표고버섯, 1, 0, 450.0
류, 감귤, 비가림감귤, 1, 0, 320.0
류, 오이, 백다다기, 1, 0, 310.0
류, 사과, 미얀마, 1, 0, 344.66666
류, 표고버섯, 표고버섯, 1, 0, 575.0
류, 감귤, 조생귤, 1, 0, 260.0
류, 단감, 부유, 1, 0, 220.0
과채류, 딸기, 천사, 1, 0, 600.0
채소류, 마늘, 깐마늘 한지, 1, 0, 800.0
채소류, 쪽파, 깐쪽파, 1, 0, 260.0
류, 단감, 부유, 1, 0, 500.0
채류, 양배추, 양배추, 1, 0, 72.0
과채류, 딸기, 설향, 1, 0, 1000.0
류, 오이, 백다다기, 1, 0, 330.0
류, 호박, 애호박, 1, 0, 387.5
채류, 깻잎, 깻잎, 1, 0, 1650.0
류, 호박, 쥬키니호박, 1, 0, 150.0
류, 감귤, 조생귤, 1, 0, 270.0
류, 단감, 부유, 1, 0, 100.0
류, 사과, 미얀마, 1, 0, 344.66666
류, 오이, 백다다기, 1, 0, 530.0
류, 호박, 쥬키니호박, 1, 0, 342.0
과채류, 딸기, 기타딸기, 1, 0, 830.0
채류, 깻잎, 깻잎, 1, 0, 1650.0
채소류, 쪽파, 깐쪽파, 1, 0, 230.0
과채류, 딸기, 설향, 1, 0, 1500.0
채류, 얼갈이배추, 얼갈이배추, 1, 0, 170.0
류, 오이, 백다다기, 1, 0, 270.0
류, 느타리버섯, 애느타리, 1, 0, 325.0
과채류, 딸기, 설향, 1, 0, 1250.0
류, 포도, 샤인마스캇, 1, 0, 667.5
채류, 부추, 일반부추, 1, 0, 550.0
채소류, 쪽파, 깐쪽파, 1, 0, 445.0
류, 감귤, 기타감귤, 1, 0, 180.0
류, 오이, 백다다기, 1, 0, 350.0
류, 오이, 백다다기, 1, 0, 530.0
류, 단감, 부유, 1, 0, 230.0
류, 호박, 애호박, 1, 0, 387.5
류, 사과, 후지, 1, 0, 180.0
과채류, 딸기, 장희, 1, 0, 1000.0
과채류, 딸기, 설향, 1, 0, 1470.0
과채류, 딸기, 기타딸기, 1, 0, 900.0
, 고구마, 기타, 1, 0, 261.0
, 고구마, 밤고구마, 1, 0, 170.0
과채류, 딸기, 설향, 1, 0, 1050.0
류, 감귤, 조생귤, 1, 0, 240.0
채류, 상추, 청상추, 1, 0, 600.0
과채류, 딸기, 설향, 1, 0, 1350.0
류, 감귤, 조생귤, 1, 0, 300.0
류, 사과, 후지, 1, 0, 200.0
채소류, 쪽파, 깐쪽파, 1, 0, 400.0
, 고구마, 밤고구마, 1, 0, 176.0
류, 포도, 샤인마스캇, 1, 0, 650.0
류, 사과, 로얄후지, 1, 0, 300.0
과채류, 딸기, 설향, 1, 0, 385.0
류, 참다래(키위), 헤이워드, 1, 0, 390.0
류, 만감, 한라봉, 1, 0, 460.0
류, 배, 신고, 1, 0, 173.33333
류, 포도, 샤인마스캇, 1, 0, 450.0
류, 배, 신고, 1, 0, 313.33334
류, 사과, 후지, 1, 0, 250.0
류, 사과, 후지, 1, 0, 270.0
류, 감귤, 레드향, 1, 0, 533.3333
류, 사과, 로얄후지, 1, 0, 300.0
, 고구마, 밤고구마, 1, 0, 95.0
류, 포도, 기타포도, 1, 0, 700.0
과채류, 토마토, 완숙토마토, 1, 0, 600.0
류, 감귤, 레드향, 1, 0, 583.3333
류, 배, 신고, 1, 0, 193.33333
류, 사과, 미얀마, 1, 0, 270.0
류, 사과, 미얀마, 1, 0, 269.5
류, 사과, 미얀마, 1, 0, 258.0
채류, 얼갈이배추, 얼갈이배추, 1, 0, 162.5
류, 사과, 미얀마, 1, 0, 124.5
류, 사과, 미얀마, 1, 0, 216.5
류, 쌈채, 모듬쌈채, 1, 0, 750.0
채류, 얼갈이배추, 얼갈이배추, 1, 0, 162.5
류, 쌈채, 모듬쌈채, 1, 0, 750.0
류, 쌈채, 모듬쌈채, 1, 0, 750.0
류, 기타, 기타잡곡류, 0, 0, 240.0
류, 단감, 기타단감, 1, 0, 113.0
류, 포도, 청포도, 1, 0, 547.9452
류, 포도, 청포도, 1, 0, 547.9452
류, 포도, 청포도, 1, 0, 547.9452
류, 포도, 청포도, 1, 0, 547.9452
류, 포도, 청포도, 1, 0, 547.9452
류, 단감, 부유, 1, 0, 200.0
류, 포도, 청포도, 1, 0, 547.9452
류, 포도, 청포도, 1, 0, 547.9452
류, 포도, 거봉, 1, 0, 480.0
류, 곶감, 상주곶감, 1, 0, 714.2857
류, 단감, 부유, 1, 0, 200.0
과채류, 수박, 수박, 1, 0, 322.22223
류, 감귤, 조생귤, 1, 0, 266.0
류, 감귤, 레드향, 1, 0, 433.33334
류, 단감, 부유, 1, 0, 230.0
작물류, 땅콩, 기타땅콩, 1, 0, 1700.0
과채류, 딸기, 설향, 1, 0, 1450.0
류, 단감, 부유, 1, 0, 230.0
과채류, 딸기, 설향, 1, 0, 1420.0
류, 감귤, 조생귤, 1, 0, 140.0
과채류, 방울토마토, 대추방울, 1, 0, 155.0
류, 감귤, 조생귤, 1, 0, 166.0
류, 오렌지, 천혜향, 1, 0, 413.0
류, 표고버섯, 표고버섯, 1, 0, 450.0
류, 감귤, 감귤, 1, 0, 80.0
류, 감귤, 조생귤, 1, 0, 140.0
채소류, 대파, 대파, 1, 0, 223.0
채류, 냉이, 일반냉이, 1, 0, 900.0
류, 감귤, 천혜향, 1, 0, 500.0
류, 단감, 부유, 1, 0, 150.0
, 고구마, 기타, 1, 0, 141.0
류, 감귤, 조생귤, 1, 0, 140.0
과채류, 딸기, 천사, 1, 0, 660.0
과채류, 방울토마토, 대추방울, 1, 0, 225.0
류, 표고버섯, 표고버섯, 1, 0, 450.0
채류, 배추, 기타배추, 1, 0, 135.0
류, 감귤, 천혜향, 1, 0, 500.0
류, 단감, 부유, 1, 0, 150.0
류, 배, 신고, 1, 0, 200.0
채류, 배추, 쌈배추, 1, 0, 350.0
류, 치커리, 레드치커리, 1, 0, 312.5
채류, 봄동배추, 봄동배추, 1, 0, 110.0
채류, 봄동배추, 봄동배추, 1, 0, 110.0
채류, 시금치, 시금치, 1, 0, 360.0
류, 무, 월동무, 1, 0, 66.5
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 193.75
류, 사과, 미시마, 1, 0, 150.0
류, 오이, 취청, 1, 0, 602.0
류, 치커리, 레드치커리, 1, 0, 587.5
채류, 깻잎, 깻잎, 1, 0, 662.5
채류, 시금치, 시금치, 1, 0, 280.0
과채류, 딸기, 장희, 1, 0, 900.0
류, 호박, 쥬키니호박, 1, 0, 260.0
채류, 시금치, 시금치, 1, 0, 400.0
류, 감귤, 조생귤, 1, 0, 204.0
류, 케일, 쌈케일, 1, 0, 160.0
과채류, 딸기, 기타딸기, 1, 0, 1000.0
, 감자, 기타감자, 1, 0, 215.0
채류, 깻잎, 깻잎, 1, 0, 1300.0
류, 케일, 쌈케일, 1, 0, 160.0
류, 양송이, 양송이, 1, 0, 1100.0
류, 케일, 쌈케일, 1, 0, 155.0
류, 호박, 애호박, 1, 0, 425.0
채류, 시금치, 시금치, 1, 0, 260.0
류, 치커리, 레드치커리, 1, 0, 200.0
과채류, 딸기, 기타딸기, 1, 0, 880.0
류, 양송이, 양송이, 1, 0, 1100.0
, 고구마, 기타, 1, 0, 60.0
채류, 깻잎, 깻잎, 1, 0, 1116.6666
과채류, 딸기, 기타딸기, 1, 0, 2850.0
류, 단감, 기타단감, 1, 0, 200.0
채류, 깻잎, 깻잎, 1, 0, 400.0
채류, 쑥갓, 쑥갓, 1, 0, 375.0
류, 포도, 샤인마스캇, 1, 0, 450.0
류, 감귤, 조생귤, 1, 0, 212.0
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 256.25
채류, 깻잎, 기타깻잎, 1, 0, 587.5
류, 당근, 당근, 1, 0, 212.5
과채류, 딸기, 금실, 1, 0, 775.0
채류, 열무, 열무, 1, 0, 117.5
과채류, 딸기, 기타딸기, 1, 0, 1500.0
류, 콜라비(순무양배추), 콜라비, 1, 0, 73.333336
류, 로메인, 로메인, 1, 0, 260.0
채류, 상추, 청상추, 1, 0, 450.0
채류, 시금치, 시금치, 1, 0, 280.0
, 감자, 기타감자, 1, 0, 219.0
채소류, 대파, 대파, 1, 0, 253.0
과채류, 토마토, 토마토, 1, 0, 240.0
류, 호박, 쥬키니호박, 1, 0, 200.0
과채류, 딸기, 설향, 1, 0, 1230.0
류, 감귤, 조생귤, 1, 0, 132.0
채류, 깻잎, 깻잎, 1, 0, 637.5
채소류, 쪽파, 쪽파, 1, 0, 330.0
과채류, 딸기, 죽향, 1, 0, 1850.0
류, 사과, 미시마, 1, 0, 200.0
류, 만감, 진지향, 1, 0, 400.0
과채류, 딸기, 설향, 1, 0, 675.0
채소류, 풋고추, 오이고추, 1, 0, 600.0
류, 배, 신고, 1, 0, 193.33333
채소류, 대파, 대파, 1, 0, 120.0
과채류, 딸기, 설향, 1, 0, 650.0
과채류, 딸기, 설향, 1, 0, 1050.0
류, 호박, 호박고지, 1, 0, 1760.0
과채류, 딸기, 기타딸기, 1, 0, 2800.0
류, 감귤, 레드향, 1, 0, 600.0
류, 당근, 당근, 1, 0, 240.0
과채류, 딸기, 기타딸기, 1, 0, 900.0
류, 오이, 가시오이, 1, 0, 453.0
류, 포도, 기타포도, 1, 0, 750.0
과채류, 딸기, 설향, 1, 0, 1350.0
과채류, 토마토, 토마토, 1, 0, 240.0
류, 당근, 당근, 1, 0, 175.0
류, 팽이버섯, 팽이1호, 1, 0, 260.0
류, 단감, 부유, 1, 0, 110.0
류, 포도, 샤인마스캇, 1, 0, 500.0
류, 단감, 부유, 1, 0, 60.0
채류, 깻잎, 깻잎순, 1, 0, 433.33334
채류, 시금치, 시금치, 1, 0, 380.0
류, 당근, 당근, 1, 0, 240.0
류, 호박, 쥬키니호박, 1, 0, 220.0
채류, 양배추, 양배추, 1, 0, 69.0
류, 감귤, 레드향, 1, 0, 633.3333
류, 감귤, 기타감귤, 1, 0, 120.0
채류, 깻잎, 깻잎, 1, 0, 1300.0
채소류, 쪽파, 깐쪽파, 1, 0, 280.0
류, 당근, 당근, 1, 0, 240.0
과채류, 딸기, 설향, 1, 0, 1175.0
류, 당근, 당근, 1, 0, 240.0
과채류, 딸기, 기타딸기, 1, 0, 1400.0
류, 감귤, 조생귤, 1, 0, 200.0
류, 토란, 토란, 1, 0, 2200.0
류, 팽이버섯, 팽이1호, 1, 0, 260.0
류, 사과, 로얄후지, 1, 0, 410.0
과채류, 딸기, 설향, 1, 0, 1350.0
류, 배, 신고, 1, 0, 280.0
류, 오이, 백다다기, 1, 0, 330.0
류, 당근, 당근, 1, 0, 240.0
채소류, 쪽파, 깐쪽파, 1, 0, 280.0
류, 호박, 애호박, 1, 0, 237.5
과채류, 딸기, 설향, 1, 0, 800.0
류, 호박, 쥬키니호박, 1, 0, 200.0
류, 당근, 당근, 1, 0, 240.0
과채류, 딸기, 설향, 1, 0, 1150.0
류, 오이, 백다다기, 1, 0, 510.0
류, 감귤, 레드향, 1, 0, 633.3333
류, 오이, 취청, 1, 0, 625.0
류, 배, 신고, 1, 0, 124.666664
류, 오이, 백다다기, 1, 0, 320.0
류, 당근, 당근, 1, 0, 240.0
류, 호박, 애호박, 1, 0, 375.0
채소류, 쪽파, 깐쪽파, 1, 0, 310.0
과채류, 딸기, 장희, 1, 0, 1133.3334
류, 오이, 백다다기, 1, 0, 510.0
류, 배, 신고, 1, 0, 213.33333
류, 콜라비(순무양배추), 적콜라비, 1, 0, 83.333336
류, 당근, 당근, 1, 0, 240.0
채류, 얼갈이배추, 얼갈이배추, 1, 0, 112.5
류, 표고버섯, 표고버섯, 1, 0, 375.0
과채류, 딸기, 설향, 1, 0, 1150.0
류, 오이, 백다다기, 1, 0, 500.0
류, 당근, 당근, 1, 0, 240.0
채류, 양배추, 양배추, 1, 0, 31.25
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 175.0
채류, 냉이, 일반냉이, 1, 0, 1207.5
채류, 양배추, 양배추, 1, 0, 81.25
류, 오이, 백다다기, 1, 0, 500.0
류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 125.0
과채류, 딸기, 설향, 1, 0, 1500.0
채소류, 꽈리고추, 꽈리고추, 1, 0, 625.0
채류, 양배추, 양배추, 1, 0, 81.25
류, 오이, 백다다기, 1, 0, 380.0
채류, 부추, 일반부추, 1, 0, 640.0
류, 오이, 백다다기, 1, 0, 510.0
류, 표고버섯, 표고버섯, 1, 0, 550.0
류, 오이, 취청, 1, 0, 510.0
류, 오이, 백다다기, 1, 0, 305.55554
류, 느타리버섯, 느타리버섯, 1, 0, 225.0
류, 양송이, 양송이, 1, 0, 250.0
류, 사과, 미얀마, 1, 0, 177.5
류, 사과, 미얀마, 1, 0, 199.5
류, 사과, 미얀마, 1, 0, 214.5
류, 사과, 미얀마, 1, 0, 257.0
류, 사과, 미얀마, 1, 0, 294.5
류, 사과, 미얀마, 1, 0, 321.5
류, 사과, 미얀마, 1, 0, 100.0
류, 사과, 미얀마, 1, 0, 364.5
채류, 상추, 꽃적상추, 1, 0, 175.0
